fac_no_faction|Bez frakce
fac_commoners|Plebejci
fac_outlaws|Psanci
fac_neutral|Neutrálové
fac_innocents|Prosťáčci
fac_merchants|Kupci
fac_player_faction|Hráčská frakce
fac_player_supporters_faction|Hráčovi donátoři
fac_kingdom_1|Království Swádů
fac_kingdom_2|Království Vaegirů
fac_kingdom_3|Khergitský chanát
fac_kingdom_4|Království Nordů
fac_kingdom_5|Rhodocké království
fac_kingdom_6|Sarranidský sultanát
fac_manhunters|Lovci lidí
fac_deserters|Zběhové
fac_mountain_bandits|Horští bandité
fac_forest_bandits|Lesní zbojníci
