fac_no_faction|érdektelen
fac_commoners|közemberek
fac_outlaws|törvényenkívüliek
fac_neutral|semlegesek
fac_innocents|ártatlanok
fac_merchants|kereskedők
fac_player_faction|A játékos oldalán állók
fac_player_supporters_faction|A játékos szövetségesei
fac_kingdom_1|Swadiai Királyság
fac_kingdom_2|Vaegir Királyság
fac_kingdom_3|Khergit Kánság
fac_kingdom_4|Nord Királyság
fac_kingdom_5|Rhodok Királyság
fac_kingdom_6|Sarranida Szultánság
fac_manhunters|fejvadászok
fac_deserters|szökevények
fac_mountain_bandits|hegyi zsiványok
fac_forest_bandits|erdei zsiványok
