skinkey_chin_size|Wielkość podbródka
skinkey_chin_shape|Kształt podbródka
skinkey_chin_forward|Wysunięcie podbródka
skinkey_jaw_width|Szerokość szczęki
skinkey_jaw_position|Położenie szczęki
skinkey_mouth_nose_distance|Odległość nosa od ust
skinkey_mouth_width|Szerokość ust
skinkey_cheeks|Policzki
skinkey_nose_height|Wysokość nosa
skinkey_nose_width|Szerokość nosa
skinkey_nose_size|Rozmiar nosa
skinkey_nose_shape|Kształt nosa
skinkey_nose_bridge|Nasada nosa
skinkey_cheek_bones|Kości policzkowe
skinkey_eye_width|Szerokość oczu
skinkey_eye_to_eye_dist|Odl. między oczami
skinkey_eye_shape|Kształt oczu
skinkey_eye_depth|Głębokość oczu
skinkey_eyelids|Powieki
skinkey_eyebrow_position|Położenie brwi
skinkey_eyebrow_height|Wysokość brwi
skinkey_eyebrow_depth|Głębokość brwi
skinkey_eyebrow_shape|Kształt brwi
skinkey_temple_width|Szerokość skroni
skinkey_face_depth|Głębokość twarzy
skinkey_face_ratio|Proporcje twarzy
skinkey_face_width|Szerokość twarzy
skinkey_post_edit|Zmiany
